05/17/2019-14:13:05.730534 kibana [**] /plugins/kibana/assets/discover.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48062 -> 192.168.1.130:5601
05/17/2019-14:13:05.762583 kibana [**] /plugins/kibana/assets/settings.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48072 -> 192.168.1.130:5601
05/17/2019-14:13:05.738386 kibana [**] /plugins/kibana/assets/visualize.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48064 -> 192.168.1.130:5601
05/17/2019-14:13:05.742874 198.168.108.119 [**] /plugins/kibana/assets/dashboard.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53890 -> 192.168.1.135:80
05/17/2019-14:13:05.747678 kibana [**] /plugins/timelion/icon.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48068 -> 192.168.1.130:5601
05/17/2019-14:13:05.765960 198.168.108.119 [**] /plugins/kibana/assets/play-circle.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53890 -> 192.168.1.135:80
05/17/2019-14:13:05.332480 kibana [**] /api/console/api_server?sense_version=%40%40SENSE_VERSION&apis=es_6_0 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48060 -> 192.168.1.130:5601
05/17/2019-14:13:05.753958 kibana [**] /plugins/kibana/assets/wrench.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48070 -> 192.168.1.130:5601
05/17/2019-14:13:05.804333 198.168.108.119 [**] /api/saved_objects/_find?type=index-pattern&per_page=10000 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:05.804303 kibana [**] /api/saved_objects/_find?type=index-pattern&per_page=10000 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48076 -> 192.168.1.130:5601
05/17/2019-14:13:05.802133 192.168.1.110 [**] /.kibana/_search?size=10000&from=0 [**] <useragent unknown> [**] 192.168.1.130:41978 -> 192.168.1.110:9200
05/17/2019-14:13:05.821763 kibana [**] /ui/fonts/open_sans/open_sans_v15_latin_regular.woff2 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48080 -> 192.168.1.130:5601
05/17/2019-14:13:05.813354 198.168.108.119 [**] /bundles/fa0bbd682c66f1187d48f74b33b5bbd0.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:06.204457 192.168.1.110 [**] /.kibana/_search?size=1&from=0&_source=index-pattern.title%2Cnamespace%2Ctype%2Ctitle [**] <useragent unknown> [**] 192.168.1.130:41978 -> 192.168.1.110:9200
05/17/2019-14:13:05.813325 kibana [**] /bundles/fa0bbd682c66f1187d48f74b33b5bbd0.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48078 -> 192.168.1.130:5601
05/17/2019-14:13:06.206472 kibana [**] /api/saved_objects/_find?type=index-pattern&fields=title&search=*&search_fields=title&per_page=1 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48082 -> 192.168.1.130:5601
05/17/2019-14:13:05.821902 198.168.108.119 [**] /ui/fonts/open_sans/open_sans_v15_latin_regular.woff2 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:06.250292 kibana [**] /ui/fonts/open_sans/open_sans_v15_latin_600.woff2 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48090 -> 192.168.1.130:5601
05/17/2019-14:13:06.253523 kibana [**] /bundles/176bcca991b07a6ec908fc4d36ac5ae0.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48086 -> 192.168.1.130:5601
05/17/2019-14:13:06.260369 198.168.108.119 [**] /bundles/cc17a3dbad9fc4557b4d5d47a38fcc56.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53890 -> 192.168.1.135:80
05/17/2019-14:13:06.228236 kibana [**] /plugins/kibana/assets/illo_dashboard.png [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48084 -> 192.168.1.130:5601
05/17/2019-14:13:06.250476 198.168.108.119 [**] /ui/fonts/open_sans/open_sans_v15_latin_600.woff2 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53882 -> 192.168.1.135:80
05/17/2019-14:13:06.260332 kibana [**] /bundles/cc17a3dbad9fc4557b4d5d47a38fcc56.svg [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48088 -> 192.168.1.130:5601
05/17/2019-14:13:06.206507 198.168.108.119 [**] /api/saved_objects/_find?type=index-pattern&fields=title&search=*&search_fields=title&per_page=1 [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:06.253558 198.168.108.119 [**] /plugins/kibana/assets/illo_dashboard.png [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
